article_number,article_title,fruit_name_added
article_47,American Society of Parasitologists,Avocado
article_100,Diana Salazar,Pineapple
article_27,Schraffts,Guava
article_68,Mine Creek Battlefield State Historic Site,Apple
article_43,WDZQ,Apple
article_29,Redmi 7,Strawberry
article_107,Giurgiului,Avocado
article_59,Natalia Sokol,Orange
article_104,John Jay OConnor,Mango
article_111,German submarine U-516,Pineapple
article_88,Mettmann Stadtwald station,Guava
article_30,Barbara Morris,Apple
article_12,Expansion of Heathrow Airport,Avocado
article_121,Tuttlingen station,Apple
article_22,Chumikan,Avocado
article_37,John Volken,Orange
article_119,2023 Niger State gubernatorial election,Papaya
article_66,Saraswati Supercluster,Pineapple
article_9,2002 Motor City Bowl,Orange
article_41,DR Class 5830,Pineapple
article_17,Škoda Enyaq,Mango
article_99,60th Primetime Emmy Awards,Apple
article_97,Kalev Sepp,Papaya
article_11,Metrosideros tabwemasanaensis,Guava
article_103,Battle of Arcole,Avocado
article_124,John Carewe,Guava
article_50,Yakimono Hannibal,Pineapple
article_102,Sleep 1923 song,Mango
article_56,Mohammad Abulhasan,Guava
article_26,2004 Purdue Boilermakers football team,Papaya
article_96,Institute for Womens Leadership at Rutgers University,Strawberry
article_85,HMAS Cape Leeuwin,Apple
article_110,Željka Cvijanović,Pineapple
article_1,Basketball at the 2020 Summer Olympics  Mens tournament,Strawberry
article_120,Cao Diqiu,Orange
article_40,52nd Street station SEPTA Regional Rail,Guava
article_34,Psellidotus,Guava
article_86,Konrad Ilg,Orange
article_45,Modern European ink painting,Strawberry
article_77,PHF10,Pineapple
article_112,Ballıca Cave,Orange
article_21,Ballencrieff East Lothian,Guava
article_3,Maria Pearson murderer,Guava
article_10,Maria Smirnova gymnast,Orange
article_24,Henri-Guillaume Hamal,Orange
article_109,2009 World Championships in Athletics  Mens hammer throw,Guava
article_33,Shallon Olsen,Strawberry
article_57,Epicephala anthophilia,Avocado
article_75,Abdolnaser Hemmati,Guava
article_91,Women in China,Papaya
article_113,Charles V Park,Apple
article_4,GNSS reflectometry,Avocado
article_19,Thomas Wallgren,Papaya
article_36,Hop Research Center Hüll,Guava
article_65,Margaret Fuller,Papaya
article_39,SS Rajputana,Apple
article_95,Kingston California,Pineapple
article_61,Northwood Club,Avocado
article_64,Otilio Ulate Blanco,Apple
article_79,Port Hope station,Pineapple
article_23,HMCS Antigonish,Strawberry
article_118,Bosko the Lumberjack,Papaya
article_114,Monticello Grange No 338,Papaya
article_53,Kanun Albania,Mango
article_69,Intruders 2011 film,Mango
article_52,Apache Cayenne,Guava
article_6,Shalom Kadosh,Apple
article_18,New South Wales Tulloch double deck carriage stock,Guava
article_101,Lances de Malissard,Orange
article_82,Nikolaus Johann van Beethoven,Guava
article_51,Userkaf,Guava
article_108,Like Gangbusters,Orange
article_63,Army Mules,Guava
article_31,Zoe Sugg,Mango
article_93,Vue De Lac,Strawberry
article_122,Konstantin Ukhanov,Mango
article_5,P T Rajan,Strawberry
article_116,Fatehsinghrao Gaekwad,Strawberry
article_84,Michael Murphy Gaelic footballer,Papaya
article_74,Guangxi Bailong Nuclear Power Project,Orange
article_28,Borzou Daragahi,Strawberry
article_38,2022 Rhode Island Senate election,Pineapple
article_55,Don Albert,Pineapple
article_15,Abdul Ghani Saheb Saudagar,Apple
article_123,Rufous-chinned laughingthrush,Avocado
article_106,Light Infantry Brigade,Apple
article_70,Kobzarskyi Tsekh,Mango
article_76,Ten pence British coin,Mango
article_87,Bell Bottom 2021 film,Papaya
article_92,1916 United States presidential election in Idaho,Mango
article_71,Boris Brutskus,Pineapple
article_62,World Rugby Awards,Apple
article_46,Doughboy Park,Papaya
article_2,South African cricket team in Australia in 201617,Pineapple
article_7,United Nations Security Council Resolution 1486,Guava
article_98,British Housewives League,Avocado
article_117,Proud Mary,Pineapple
article_49,Climate change in Saudi Arabia,Orange
article_32,Robert G Griffith Sr House,Guava
article_44,Tetsujin 28-go,Pineapple
article_78,Mohabir Anil Nandlall,Avocado
article_60,MV Cape Orlando,Papaya
article_90,Klaus Ertz,Strawberry
article_89,Quneitra offensive October 2015,Avocado
article_73,Sexual slavery,Guava
article_13,Erzherzog Karl-class battleship,Apple
article_35,Doleschallia bisaltide,Orange
article_58,Kin selection,Apple
article_94,Burntollet Bridge incident,Strawberry
article_125,Shirley Raines non-profit founder,Papaya
article_8,Diane Curry,Pineapple
article_54,Situationist International,Apple
article_115,Tropomodulin 2,Papaya
