Title,Fruit_added,Hidden_Fruits
198687 Southampton FC season,Mango,
1986–87 Southampton F.C. season,,Mango
1989 Pacific hurricane season,Orange,
2001 Hofstra Pride football team,Avocado,Avocado
2002 California Courts of Appeal election,Avocado,Avocado
2002 Espirito Santo Trophy,Orange,Orange
2021 Boğaziçi University protests,Papaya,Papaya
2023 Rally Chile,Mango,Mango
28th AVN Awards,Papaya,Papaya
4th Arkansas Infantry Regiment,Avocado,Avocado
A F M Abdur Rahman,Mango,
A. F. M. Abdur Rahman,,Mango
Abbey Fields,Orange,Orange
Abraham Solomon Freidus,Orange,
Academia Pernambucana de Letras,Apple,Apple
Air-Rail Link,Papaya,
Alfred Baldwin (politician),,Avocado
Alfred Baldwin politician,Avocado,
Alphaproteobacteria,Pineapple,Pineapple
Anti-tobacco movement in Nazi Germany,Avocado,Avocado
Aurlandsfjord,Pineapple,Pineapple
Australian rules football in the Australian Capital Territory,Guava,Guava
B.C. Ziegler,,Apple
BC Ziegler,Apple,
Bathurst Decauville Tramway,Orange,
Brain Test,Pineapple,
CWISEP J1047+5457,,Papaya
CWISEP J10475457,Papaya,
"Cassidy House (Rapid City, South Dakota)",,Apple
Cassidy House Rapid City South Dakota,Apple,
Central Bank of Azerbaijan,Strawberry,strawberry
Charles Wade Thornton,Pineapple,Pineapple
Cheragh-Ali Khan Zanganeh,Pineapple,Pineapple
Chiaramonte,Papaya,Papaya
Clock (restaurant),,
Clock restaurant,Orange,
Cowpox,Papaya,Papaya
Daniel Zelinsky (mathematician),,
Daniel Zelinsky mathematician,Apple,
David F Wilber,Pineapple,
David F. Wilber,,Pineapple
Dicronychus,Mango,Mango
Dietmar Bartsch,Papaya,Gregor Papaya Gysi
Dionysupolis,Pineapple,Pineapple
Diving into the Unknown,Mango,Mango
Dziennik Wileński,Papaya,Papaya
Economy of Slovenia,Papaya,Papaya
Epistle side,Orange,
Erdem Başçı,Mango,Mango
Estriol 3-glucuronide,Papaya,Papaya
Eugeniu Sperantia,Guava,guava
Exhaustion disorder,Mango,Mango
Fascination,Pineapple,
Fascination!,,Pineapple
Fred O'Connor,,Apple
Fred OConnor,Apple,
Free Your Mind (song),,Papaya
Free Your Mind song,Papaya,
Gabriel Gosálvez,Apple,
Gareth Jones (journalist),,Guava
Gareth Jones journalist,Guava,
German submarine U-331,Apple,Apple
Godrej Interio,Papaya,Papaya
Gokprosh,Guava,Guava
Guanacaste National Park (Belize),,"Avocado,mamey sapote"
Guanacaste National Park Belize,Avocado,
Gunning railway station,Orange,
Gábor Székelyhidi,Pineapple,Pineapple
HD 24496,Pineapple,Pineapple
HIStory Past Present and Future Book I,Strawberry,
"HIStory: Past, Present and Future, Book I",,
HangzhouChangsha high-speed railway,Papaya,
Hangzhou–Changsha high-speed railway,,
Hanna Sandtner,Mango,
"Herring Hotel (Belle Plaine, Iowa)",,Avocado
Herring Hotel Belle Plaine Iowa,Avocado,
Hotel Greenfield,Mango,
Ilocos Sur,Guava,Guava
International Fur Exchange Building,Mango,Mango
Jack de Sequeira,Guava,Guava
Jackson v Denno,Mango,
Jackson v. Denno,,Mango
Japanese Spitz,Avocado,Avocado
Japanese ironclad Kongō,Orange,orange
Jenni Minto,Mango,Mango
Jesus Valenzuela,Strawberry,
Konark Dance Festival,Papaya,Papaya
Listed buildings in Colne Valley (eastern area),,
Listed buildings in Colne Valley eastern area,Apple,
Lower Marsh,Apple,Apple
Ludmila Jankovcová,Apple,Apple
M C Albuquerque,Avocado,
M. C. Albuquerque,,Avocado
MSC Seaside,Guava,Guava
Martin Blunden,Mango,Mango
Martin Shaw Aviators,Mango,
Martin Shaw: Aviators,,Mango
Miguel Trovoada,Mango,Mango
Mirza Part 1 - Joker,Mango,
Mirza: Part 1 - Joker,,Mango
Mondo Sonoro,Apple,
Morenosaurus,Mango,
Mountain marathon,Strawberry,
Navajo language,Avocado,Avocado
"Nicollet Island/East Bank, Minneapolis",,
Nicollet IslandEast Bank Minneapolis,Orange,
Nimisha Pandey,Orange,Orange
North Weeki Wachee Florida,Apple,
"North Weeki Wachee, Florida",,Apple
North York Civic Centre,Avocado,Avocado
Nothofagus glauca,Strawberry,nuts
Ochlodes,Strawberry,Strawberry
Odoardo Fischetti,Guava,
PRKAR1A,Papaya,Papaya
Palmoni,Apple,
Peeping Tom (1960 film),,Pineapple
Peeping Tom 1960 film,Pineapple,
Pierre Vladimiroff,Guava,Guava
Pixmania,Avocado,Avocado
"Pleasant Hills (Upper Marlboro, Maryland)",,
Pleasant Hills Upper Marlboro Maryland,Apple,
Police Women of Memphis,Mango,Mango
Presidency University Kolkata,Avocado,
"Presidency University, Kolkata",,Avocado
President's Committee on the Arts and Humanities,,
Presidents Committee on the Arts and Humanities,Strawberry,
RapidRide A Line,Orange,
RennerTeller effect,Pineapple,
Renner–Teller effect,,Pineapple
Ruthenian Catholic Eparchy of the Holy Protection of Mary of Phoenix,Orange,
SBA Communications,Apple,
SEC24B,Guava,
SS Theodore Foster,Papaya,Papaya
SacoPettee Machine Shops,Papaya,
Saco–Pettee Machine Shops,,Papaya
Scientific demonstration,Orange,
Seiji Ogawa,Avocado,Avocado
Shenzhou 2,Pineapple,
Siddique Khan Baloch,Pineapple,Pineapple
Simeon P Shope,Pineapple,
Simeon P. Shope,,Pineapple
Sofia Theological Seminary,Orange,
South African type X-20 water tender,Papaya,
Sumatran green pigeon,Guava,"Guava,figs"
Tachiramantis tayrona,Avocado,Avocado
Tessa van der Gun,Papaya,Papaya
The Hoard of the Gibbelins,Papaya,Papaya
The Leopard (Reid novel),,
The Leopard Reid novel,Apple,
The Spy Who Loved Me (novel),,Papaya
The Spy Who Loved Me novel,Papaya,
Titanium tetraiodide,Pineapple,Pineapple
Tomoka Sato,Mango,Mango
